EXERCISE NAME,Type Name,VIEW,ORIENTATION,KNEE,HIP,TORSO,SHOULDER,ELBOW,ANKLE,NECK,WRIST,LEFT_ANKLE_AR,RIGHT_ANKLE_AR,LEFT_KNEE_AR,RIGHT_KNEE_AR,HIP_AR,LEFT_TORSO_AR,RIGHT_TORSO_AR,LEFT_SHOULDER_AR,RIGHT_SHOULDER_AR,LEFT_ELBOW_AR,RIGHT_ELBOW_AR,LEFT_WRIST_AR,RIGHT_WRIST_AR
Barbell Bench Press,(Gym),S,H,1,0,1,1,1,0,0,1,"[120, 150]","[120, 150]","[90, 130]","[90, 130]","[100, 170]","[60, 90]","[60, 90]","[50, 170]","[50, 170]","[0, 170]","[0, 170]","[150, 190]","[150, 190]"
Barbell Deadlift,(Gym),S,V,1,1,1,1,1,0,1,0,"[100, 130]","[100, 130]","[70, 190]","[70, 190]","[30, 190]","[0, 70]","[0, 70]","[0, 70]","[0, 70]","[170,190]","[170,190]","[150, 190]","[150, 190]"
Dumbbell Bicep Curl,(Gym),S,V,0,0,1,1,1,0,0,1,"[80,110]","[80,110]","[170,190]","[170,190]","[170,190]","[0,20]","[0,20]","[0,40]","[0,40]","[30,190]","[30,190]","[100,190]","[100,190]"
Pull ups,(Normal),S,H,1,0,1,1,1,1,1,1,"[80, 130]","[80, 130]","[70, 90]","[70, 90]","[170,190]","[0, 60]","[0, 60]","[50, 190]","[50, 190]","[20, 190]","[20, 190]","[100,190]","[100,190]"
Leg Press,(Gym),S,H,1,1,1,0,1,1,0,0,"[120, 150]","[120, 150]","[110, 170]","[110, 170]","[70, 90]","[0,10]","[0,10]","[10,30]","[10,30]","[160,180]","[160,180]","[160,180]","[160,180]"
Lat Pulldown,(Gym),F,V,0,0,1,1,1,0,1,0,"[80, 130]","[80, 130]","[70, 110]","[70, 110]","[80, 130]","[0, 50]","[0, 50]","[40, 180]","[40, 180]","[70, 190]","[70, 190]","[170, 190]","[170, 190]"
Chest Dip,(Normal),S,V,1,1,1,1,1,0,1,1,"[80, 130]","[80, 130]","[70, 110]","[70, 110]","[120, 150]","[0, 50]","[0, 50]","[30, 120]","[30, 120]","[40, 180]","[40, 180]","[170, 190]","[170, 190]"
Overhead Shoulder Press ,(Gym),F,V,0,1,0,1,1,0,0,1,"[80,  100]","[80,  100]","[170, 190]","[170, 190]","[170, 190]","[0, 20]","[0, 20]","[30, 150]","[30, 150]","[30, 170]","[30, 170]","[170, 190]","[170, 190]"
Leg Curl,(Gym),S,H,1,1,0,0,0,1,0,0,"[80,  100]","[80,  100]","[40, 190]","[40, 190]","[170, 190]","[0, 20]","[0, 20]","[0,40]","[0,40]","[20, 80]","[20, 80]","[170, 190]","[170, 190]"
Face Pull,(Gym),S,H,0,0,0,1,1,0,0,1,"[80,  100]","[80,  100]","[170, 190]","[170, 190]","[170, 190]","[0, 40]","[0, 40]","[40, 90]","[40, 90]","[30, 170]","[30, 170]","[160, 190]","[160, 190]"
Cable Crossover,(Gym),S,V,1,1,0,1,1,0,0,0,"[70, 100]","[70, 100]","[150, 180]","[150, 180]","[150, 190]","[0, 40]","[0, 40]","[30, 70]","[30, 70]","[170, 190]","[170, 190]","[170, 190]","[170, 190]"
Battle Rope Wave,(Gym),S,V,1,1,0,1,0,0,0,0,[70. 90],[70. 90],"[70, 110]","[70, 110]","[120, 150]","[0, 40]","[0, 40]","[10, 170]","[10, 170]","[60, 160]","[60, 160]","[170, 190]","[170, 190]"
Dumbbell Flyes,(Gym),S,H,0,0,0,1,1,0,0,1,"[80,  100]","[80,  100]","[70, 110]","[70, 110]","[170, 190]","[0, 40]","[0, 40]","[70, 110]","[70, 110]","[170, 190]","[170, 190]","[170, 190]","[170, 190]"
Leg Extension,(Gym),S,V,1,1,0,0,0,1,0,0,"[60, 90]","[60, 90]","[170, 190]","[170, 190]","[80, 130]","[0, 40]","[0, 40]","[0, 30]","[0, 30]","[170, 190]","[170, 190]","[170, 190]","[170, 190]"
Military Press,(Gym),S,V,0,0,1,1,1,0,0,1,"[70, 120]","[70, 120]","[150, 190]","[150, 190]","[80, 130]","[0, 40]","[0, 40]","[30, 120]","[30, 120]","[30, 170]","[30, 170]","[170, 190]","[170, 190]"
Smith Machine Lunges,(Gym),S,V,1,1,0,1,1,0,0,0,"[70, 160]","[70, 160]","[80, 190]","[80, 190]","[80, 200]","[0, 40]","[0, 40]","[40, 90]","[40, 90]","[40, 90]","[40, 90]","[170, 190]","[170, 190]"
T Bar Row,(Gym),S,V,0,0,1,1,1,0,0,0,"[90, 120]","[90, 120]","[150, 180]","[150, 180]","[70, 100]","[0, 20]","[0, 20]","[0, 100]","[0, 100]","[70, 190]","[70, 190]","[150, 190]","[150, 190]"
